date,category,광고_이월,광고_입점,광고_정상,EP_이월,EP_입점,EP_정상
2025-01-01,골프,628727.0,502727.0,1085600.0,2006327.0,4700173.0,1682236.0
2025-01-01,남성,2842127.0,107273.0,2016445.0,13928545.0,1958945.0,13456618.0
2025-01-01,리빙,0.0,1638636.0,0.0,0.0,4701418.0,0.0
2025-01-01,명품,0.0,879545.0,0.0,0.0,5772364.0,0.0
2025-01-01,뷰티,0.0,843727.0,167909.0,0.0,2148736.0,0.0
2025-01-01,슈즈,402545.0,633636.0,232500.0,447291.0,873091.0,479545.0
2025-01-01,스포츠,570909.0,265273.0,198182.0,1025273.0,3913573.0,230182.0
2025-01-01,아웃도어,0.0,22273.0,0.0,0.0,1101000.0,0.0
2025-01-01,여성,1237909.0,200582.0,639636.0,12734955.0,7147673.0,11194545.0
2025-01-01,잡화,2266527.0,293891.0,4949945.0,11323255.0,3647391.0,6432145.0
2025-01-01,키즈,0.0,512818.0,0.0,0.0,1789391.0,0.0
2025-01-02,골프,93818.0,704636.0,20309.0,-883582.0,1505091.0,1177891.0
2025-01-02,남성,5387155.0,94773.0,2873655.0,11564291.0,3572000.0,9172564.0
2025-01-02,리빙,0.0,401909.0,0.0,0.0,3361436.0,0.0
2025-01-02,명품,0.0,225000.0,0.0,0.0,-2378400.0,0.0
2025-01-02,뷰티,0.0,513455.0,315364.0,0.0,1502795.0,312727.0
2025-01-02,슈즈,616727.0,-27273.0,225682.0,994336.0,249909.0,378591.0
2025-01-02,스포츠,59455.0,227909.0,0.0,1040273.0,6068273.0,373000.0
2025-01-02,아웃도어,0.0,48455.0,0.0,0.0,753000.0,0.0
2025-01-02,여성,1585636.0,1944145.0,-17227.0,13935000.0,-352418.0,-6714091.0
2025-01-02,잡화,3324491.0,226818.0,3319918.0,16978436.0,2788482.0,6310182.0
2025-01-02,키즈,0.0,587455.0,0.0,0.0,1094155.0,0.0
2025-01-03,골프,209964.0,1039364.0,848455.0,2203891.0,2665364.0,20591.0
2025-01-03,남성,1081091.0,333727.0,1268309.0,18226009.0,2131818.0,16087609.0
2025-01-03,리빙,0.0,173455.0,0.0,0.0,3942291.0,0.0
2025-01-03,명품,0.0,837727.0,0.0,0.0,2238364.0,0.0
2025-01-03,뷰티,0.0,580818.0,262909.0,0.0,319327.0,-455.0
2025-01-03,슈즈,331764.0,580000.0,155455.0,1275673.0,368182.0,332318.0
2025-01-03,스포츠,276545.0,2097273.0,0.0,730364.0,4067755.0,81818.0
2025-01-03,아웃도어,0.0,-34273.0,0.0,0.0,1797909.0,0.0
2025-01-03,여성,6494636.0,68273.0,1988000.0,14044973.0,2059509.0,10472818.0
2025-01-03,잡화,3010891.0,443000.0,2454627.0,12884436.0,1855409.0,4708436.0
2025-01-03,키즈,0.0,172455.0,0.0,0.0,1386545.0,0.0
2025-01-04,골프,480200.0,1131955.0,1316455.0,4863091.0,6400582.0,1339827.0
2025-01-04,남성,3522745.0,193273.0,1053364.0,17157836.0,1505818.0,15182973.0
2025-01-04,리빙,0.0,315818.0,0.0,0.0,3306773.0,0.0
2025-01-04,명품,0.0,1883000.0,0.0,0.0,15461636.0,0.0
2025-01-04,뷰티,0.0,1185818.0,156364.0,0.0,1300627.0,27000.0
2025-01-04,슈즈,569909.0,195364.0,1172500.0,530455.0,829636.0,1497727.0
2025-01-04,스포츠,43091.0,34455.0,405455.0,1277455.0,2443609.0,126364.0
2025-01-04,아웃도어,0.0,842727.0,0.0,0.0,2431909.0,0.0
2025-01-04,여성,1298727.0,298227.0,2151955.0,20673227.0,6375618.0,5416545.0
2025-01-04,잡화,3258782.0,409300.0,2555645.0,12033273.0,4350982.0,4344345.0
2025-01-04,키즈,0.0,776982.0,0.0,0.0,2492291.0,0.0
